"시도별(1)",시도별(2),2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02
"충남",논산,14,22,19,25,23,25,23,23,21,19,22,15,9,13,12,26,23,38,30,38,16,22,18,15,17,13,15,19,20,27,33,27,15,17,18,9,13,12,19,23,25,20,25
"충남",태안,15,21*,16,18,18,21,22,22,20,18,21,13,10,14,13,22,15,30,26,30,16,21,16,15,19,14,17,17,18,22,19,18,17,12,12,9,11,10,14,20,22,20,28
"충남",보령,11,24,21,27,27,33,25,27,20,18,22*,12,8,12,14,34,25,35,32,37,19,25,20,14,16,13,20,24,28,33,32,25,19,18,17,11,12,12,19,24,26,23,32
"충남",홍성,14,29,25,29,30,35,27,30,21,19,22,10,13,14,21,43,32,41,37,44,21,27,21,18,18,16,23,26,30,34,30,27,21,20,19,13,13,13,22,27,29,27,35
"충남",공주,11,24,21,30,31,36,29,31,23,20,22,10,11,12,16,34,26,36,36,45,21,27,25,14,9,8,18,25,32,32,29,25,20,19,21,11,12,12,20,25,30,26,30
"충남",부여,16,20,18,24,22,25,22,22,21,18,21,14,11,14,15,28,20,31,32,39,20,28,23,17,21,14,17,21,26,31,34,28,24,21*,23,13,16,14,20,22,23,22,25
"충남",청양,-,-,-,-,29*,29,25,28,21,17,19,11,13,14,20,39,29,43,42,51,24,28,24,15,14,11,19,25,29,33,31,24,18,17,18,10,11,12,21,25,28,26,30
"충남",금산,-,-,-,-,29*,26,24,26,21,18,20,15,10,14,11,27,22,31,26,36,22,24,23,11,15,15,22,29,32,35,31,27,24,21,23,12,13,13,19,26,33,27,28
"충남",예산,9,18,15,20,20,27,20,21,15,14,22,13,10,14,17,40,29,43,42,50,26,27,24,18,17,15,22,26,31,38,33,25,22,20,20,13,14,12,20,29,30,28,36
"충남",계룡,-,-,-,-,-,-,-,24**,18,14,16,11,8,10,12,25,19,30,29,35,18,25,19,14,15,11,14,20,26,28,25,23,20,17,18,9,12,11,16,19,24,20,24
"충남",서천,-,-,-,-,-,-,-,22**,18,15,17,11,8,11,13,28,21,28,34,38,20,26,19,15,18,14,17,20,25,31,30,26,20,17,16,11,13,13,18,23,26,24,29
"충남",도평균,15,22,19,25,27,30,27,28*,21,19,21,12,10,13,15,35,25,37,35,43,22,28,22,17,17,14,20,24,29,32,30,26,20,19,19,13,13,13,20,25,27,25,32
"전북",임실,-,-,-,-,-,-,-,-,-,-,-,-,14,15,21,40,30,42,44,44,23,20,20,10,13,11,14,24,28,30,25,21,20,20,24,12,15,14*,-,-,23,22,23*
"전북",전주,15,19,18,31,28,33,37,38,30,24,33,16,13,12,22,47,36,47,46,47,24,24,26,15,19,18,25,30,30,37*,32*,23**,19,21,26,13,14,12,19,21,23,22,29
"전북",군산,14*,23,18,28,49**,29,29,34*,31,25,29,14,15,14,22,40,27,39,40,49,25,32,25,18,15,15,19,22,24,27*,24,23,19,21*,23,14,15,16,21,24,23,22,27
"전북",익산,15*,28,29,40**,32*,34,33,39,30,24,33,15,14,15,24,48,34,48,47,52,27,33,26,18,17,18,22,29,29*,34,29,25,20,21,23,13,15,16,23,27,31,26,28
"전북",남원,15,21,17,33,36,36,33,26,20,16,22,12,10,10,16,33,30,38,42,40,23,23,19,11,14,11,12,20,24,26,22,18,18,17,18,11,16,13,16,17,22,24,29
"전북",정읍,17,27,23,31,27,32,31,34,25,23,30,16,16,16,18,32,24,30,32,36,19,20,23,17,18,15,18,22,24,29,22,22,18,20,27,15,19,15,19,22,22,21,26
"전북",고창,17,23,22,25,21,28,26,27,20,18,22,12,9,10,12,26,20*,31,33,37,20,23,21,17,16,15,15,14,17,25,20,18,16,18,20,13,16,15*,17,19,18,19,24
"전북",부안,14,22,21,32,31,36,30,28,23,18,22,9*,20,12,22,37,33,44,44,51,24,29,23,16,15,15,20,26,27,33,27,23,18,18,20,12,13,15,22,23,22,24,28
"전북",김제,14,24,22,33,32,36,31,31,24,20,28,10*,13,11,20,42,29,39,40,46,22,26,24,19,19,16,22,28,29,33,29,26,22,22,27,14,16,17,25,30,31,28,31
"전북",완주,-,-,-,-,-,-,30,33,27,21,26,13,9,11,13,28,22,35,35,40,22,27,27,17,18,14,17,18,19,23,25,27,24,25,31,14,17,13,17,19,23,20,25
"전북",진안,-,-,-,-,-,-,27,26,21,17,19,11,11,9,16,33,25,36,36,40,20,21,27,17,18,13,13,21,23,25,24,18,17,16,21,8,11,8,12,15,18,17,20
"전북",무주,-,-,-,-,-,-,-,-,-,-,-,-,10,11,13,27,23,33,32,34,15,19,19,10,9,7,10,16,22,23,20,19,18,18,22,11,12,11,15,17,19,19,22
